STATION_NUMBER,PEARSEDA,PERSEDA_CODE
05EF,North Saskatchewan,10
05EG,North Saskatchewan,10
05FA,North Saskatchewan,10
05FB,North Saskatchewan,10
05FC,North Saskatchewan,10
05FD,North Saskatchewan,10
05FE,North Saskatchewan,10
05FF,North Saskatchewan,10
05GA,North Saskatchewan,10
05GB,North Saskatchewan,10
05GC,North Saskatchewan,10
05GD,North Saskatchewan,10
05GE,North Saskatchewan,10
05GF,North Saskatchewan,10
05GG,North Saskatchewan,10
05HA,South Saskatchewan,11
05HB,South Saskatchewan,11
05HC,South Saskatchewan,11
05HD,South Saskatchewan,11
05HE,South Saskatchewan,11
05HF,South Saskatchewan,11
05HG,South Saskatchewan,11
05HH,South Saskatchewan,11
05JA,Assiniboine - Red,12
05JB,Assiniboine - Red,12
05JC,Assiniboine - Red,12
05JD,Assiniboine - Red,12
05JE,Assiniboine - Red,12
05JF,Assiniboine - Red,12
05JG,Assiniboine - Red,12
05JH,Assiniboine - Red,12
05JJ,Assiniboine - Red,12
05JK,Assiniboine - Red,12
05JL,Assiniboine - Red,12
05JM,Assiniboine - Red,12
05K0,Lower Saskatchewan - Nelson,14
05K1,Lower Saskatchewan - Nelson,14
05KA,Lower Saskatchewan - Nelson,14
05KB,Lower Saskatchewan - Nelson,14
05KC,Lower Saskatchewan - Nelson,14
05KD,Lower Saskatchewan - Nelson,14
05KE,Lower Saskatchewan - Nelson,14
05KF,Lower Saskatchewan - Nelson,14
05KG,Lower Saskatchewan - Nelson,14
05KH,Lower Saskatchewan - Nelson,14
05KJ,Lower Saskatchewan - Nelson,14
05KK,Lower Saskatchewan - Nelson,14
05KL,Lower Saskatchewan - Nelson,14
05L0,Lower Saskatchewan - Nelson,14
05L1,Lower Saskatchewan - Nelson,14
05LA,Lower Saskatchewan - Nelson,14
05LB,Lower Saskatchewan - Nelson,14
05LC,Lower Saskatchewan - Nelson,14
05LD,Lower Saskatchewan - Nelson,14
05LE,Lower Saskatchewan - Nelson,14
05LF,Lower Saskatchewan - Nelson,14
05LG,Lower Saskatchewan - Nelson,14
05LH,Lower Saskatchewan - Nelson,14
05LJ,Lower Saskatchewan - Nelson,14
05LK,Lower Saskatchewan - Nelson,14
05LL,Lower Saskatchewan - Nelson,14
05LM,Lower Saskatchewan - Nelson,14
05LN,Lower Saskatchewan - Nelson,14
05MA,Assiniboine - Red,12
05MB,Assiniboine - Red,12
05MC,Assiniboine - Red,12
05MD,Assiniboine - Red,12
05ME,Assiniboine - Red,12
05MF,Assiniboine - Red,12
05MG,Assiniboine - Red,12
05MH,Assiniboine - Red,12
05MJ,Assiniboine - Red,12
05NA,Assiniboine - Red,12
05NB,Assiniboine - Red,12
05NC,Assiniboine - Red,12
05ND,Assiniboine - Red,12
05NE,Assiniboine - Red,12
05NF,Assiniboine - Red,12
05NG,Assiniboine - Red,12
05OA,Assiniboine - Red,12
05OB,Assiniboine - Red,12
05OC,Assiniboine - Red,12
05OD,Assiniboine - Red,12
05OE,Assiniboine - Red,12
05OF,Assiniboine - Red,12
05OG,Assiniboine - Red,12
05OH,Assiniboine - Red,12
05OJ,Assiniboine - Red,12
05PA,Winnipeg,13
05PB,Winnipeg,13
05PC,Winnipeg,13
