Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
06DA002,28400,Yes,,,28400,
06DA004,7730,Yes,,,7730,
06DA005,3030,Yes,,,3030,
06DC001,10200,Yes,,,10200,
06DD002,63300,Yes,,,63300,
06EA002,212000,Yes,,,212000,
06EA006,230000,Yes,,,230000,
06EA011,209718,Yes,,,209718,
06EB004,244000,Yes,,,244000,
06FA001,5970,Yes,,,5970,
06FB001,271000,Yes,,,271000,
06FB002,4270,Yes,,,4270,
06FC001,5810,Yes,,,5810,
06FD001,289000,Yes,,,289000,
06FD002,1890,Yes,,,1890,
06GD001,48100,Yes,,,48100,
06HB002,27000,Yes,,,27000,
06JC002,65600,Yes,,,65600,
06KC003,67300,Yes,,,67300,
06LA001,21400,Yes,,,21400,
06LC001,70000,Yes,,,70000,
06MA006,152000,Yes,,,152000,
06OA007,NA,Yes,,,4694.64,
07AA001,628.5,Yes,,No ,628.5,
07AA002,3872.7,Yes,,No ,3872.7,
07AA007,29.3,Yes,,No ,29.3,
07AC001,959.8,Yes,,No ,959.8,
07AC007,5655,Yes,,No ,5655,
07AC008,93,Yes,,No ,93,
07AD002,9764.8,Yes,,No ,9764.8,
07AE001,19600,Yes,,No,19600,
07AF002,2561.6,Yes,,No ,2561.6,
07AF003,25.9,Yes,,No ,25.9,
07AF010,178,Yes,,No ,178,
07AF013,329.6,Yes,,No ,329.6,
07AF014,639.7,Yes,,No ,639.7,
07AF015,384,Yes,,No ,384,
07AG003,826,Yes,,No ,826,
07AG004,9109,Yes,,No ,9109,
07AG007,7143.3,Yes,,No ,7143.3,
07AG008,132.5,Yes,,No ,132.5,
07AH001,1661.7,Yes,,No ,1661.7,
07AH002,423.1,Yes,,No ,423.1,
07AH003,1145.1,Yes,,No ,1145.1,
07BA001,2896.5,Yes,,No ,2896.5,
07BA002,606.1,Yes,,No ,606.1,
07BA003,102.7,Yes,,No ,102.7,
07BB002,4401.6,Yes,,No ,4401.6,
07BB004,616.5,Yes,,No ,616.5,
07BB005,422.78,Yes,,No ,422.78,
07BB006,2367.6,Yes,,No ,2367.6,
07BB011,253.4,Yes,,No ,253.4,
07BB014,48.9,Yes,,No ,48.9,
07BC002,13103.7,Yes,,No ,13103.7,
07BC006,605,Yes,,No ,605,
07BC007,344,Yes,,No,344,
07BE001,74602.3,Yes,,No ,74602.3,
07BE004,128.2,Yes,,No ,128.2,
07BF001,1466.6,Yes,,No ,1466.6,
07BF002,1151.8,Yes,,No,1151.8,
07BF009,426.7,Yes,,No ,426.7,
07BF010,1713.2,Yes,,No ,1713.2,
07BF905,6001.3,Yes,,No ,6001.3,
